CA,CA_NAME,INCOME,NONWHITE
14,Albany Park,61759,68
57,Archer Heights,50458,85
34,Armour Square,31663,86
70,Ashburn,70223,91
71,Auburn Gresham,34396,99
25,Austin,33515,94
45,Avalon Park,44588,99
21,Avondale,66130,65
19,Belmont Cragin,51689,87
72,Beverly,98636,42
60,Bridgeport,54915,66
58,Brighton Park,41650,93
47,Burnside,29324,100
48,Calumet Heights,49478,99
44,Chatham,34241,98
66,Chicago Lawn,34273,97
64,Clearing,60880,58
35,Douglas,31856,89
17,Dunning,72272,38
27,East Garfield Park,24617,94
52,East Side,48090,86
77,Edgewater,55768,43
9,Edison Park,105233,17
68,Englewood,22127,99
12,Forest Glen,123856,30
37,Fuller Park,23148,96
63,Gage Park,42277,96
56,Garfield Ridge,74962,58
38,Grand Boulevard,33503,96
69,Greater Grand Crossing,29647,99
55,Hegewisch,57151,65
20,Hermosa,46915,89
23,Humboldt Park,39492,92
41,Hyde Park,55377,52
16,Irving Park,66878,57
11,Jefferson Park,76694,38
39,Kenwood,49114,81
6,Lake View,92779,22
7,Lincoln Park,115389,21
4,Lincoln Square,81149,35
22,Logan Square,82908,50
31,Lower West Side,52104,79
59,McKinley Park,49638,83
18,Montclare,53285,69
75,Morgan Park,63501,70
74,Mount Greenwood,102256,17
8,Near North Side,106026,30
33,Near South Side,110120,47
28,Near West Side,91125,57
61,New City,34916,87
5,North Center,125033,22
29,North Lawndale,28327,96
13,North Park,56287,52
10,Norwood Park,83985,23
36,Oakland,32844,97
76,O'Hare,53509,27
15,Portage Park,70559,53
50,Pullman,43539,90
54,Riverdale,15396,99
1,Rogers Park,43177,56
49,Roseland,40786,99
46,South Chicago,34856,97
51,South Deering,36315,96
30,South Lawndale,34705,96
43,South Shore,32093,97
32,The Loop,108676,38
3,Uptown,55109,46
73,Washington Heights,51800,99
40,Washington Park,25423,99
62,West Elsdon,60836,86
67,West Englewood,26821,98
26,West Garfield Park,24169,98
65,West Lawn,54922,87
53,West Pullman,42271,99
2,West Ridge,53877,59
24,West Town,104639,36
42,Woodlawn,25450,92
